PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,[1] 20210208_KLOF_DIA_FAIMS_35V_d0_1.raw.PG.Quantity,[2] 20210208_KLOF_DIA_FAIMS_35V_d0_2.raw.PG.Quantity,[3] 20210208_KLOF_DIA_FAIMS_35V_d0_3.raw.PG.Quantity,[4] 20210208_KLOF_DIA_FAIMS_35V_d0_4.raw.PG.Quantity,[5] 20210208_KLOF_DIA_FAIMS_35V_d0_5.raw.PG.Quantity,[6] 20210208_KLOF_DIA_FAIMS_35V_d0_6.raw.PG.Quantity,[7] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_1.raw.PG.Quantity,[8] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_2.raw.PG.Quantity,[9] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_3.raw.PG.Quantity,[10] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_4.raw.PG.Quantity,[11] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_5.raw.PG.Quantity,[12] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_6.raw.PG.Quantity
A0A024RCV8;A0A0G2JK42;A0A0G2JK88;A0A140T982;A0A140T9A7;A0A140T9J3;A0A140T9X1;A2ABE9;H7C2J4;O43196,MSH5-SAPCD1;MSH5;MSH5;MSH5;MSH5;MSH5;MSH5;MSH5;MSH5;MSH5,DNA mismatch repair protein;MutS protein homolog 5 (Fragment);MutS protein homolog 5;MutS protein homolog 5 (Fragment);MutS protein homolog 5 (Fragment);MutS protein homolog 5 (Fragment);MutS protein homolog 5 (Fragment);MutS protein homolog 5 (Fragment);MutS protein homolog 5;MutS protein homolog 5,712.5285034,Filtered,331.1710205,Filtered,391.6195374,705.4220581,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A024RDL5;A0A087WVB5;A0A2R8Y522;A0A2R8Y568;A0A2R8Y8C6;Q75MD7;Q8WXX7,AUTS2,"Autism susceptibility candidate 2, isoform CRA_a;Autism susceptibility gene 2 protein;Autism susceptibility gene 2 protein (Fragment);Autism susceptibility gene 2 protein;Autism susceptibility gene 2 protein;Autism susceptibility gene 2 protein (Fragment);Autism susceptibility gene 2 protein",3745.544189,1733.344727,2051.687744,1929.697266,1884.0896,1778.106812,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A067XG54;Q8NB49,ATP11C,Phospholipid-transporting ATPase;Phospholipid-transporting ATPase IG,10086.88867,6009.425781,7610.15625,8479.162109,7093.25293,7118.164063,7933.991699,7662.396484,9962.015625,8446.171875,4075.909424,7047.949219
A0A075B6G3;A0A087WTU7;A0A087WV90;A0A5H1ZRP7;A0A5H1ZRP8;A0A5H1ZRP9;A0A5H1ZRQ1;A0A5H1ZRQ8;A0A5H1ZRR9;H0Y304;P11532,DMD,Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin;Dystrophin (Fragment);Dystrophin,4683.013184,2449.961182,4287.239746,5042.589844,2893.508057,2818.301514,548.5084229,1855.760498,2032.62085,2981.07251,1585.483765,1268.041138
A0A075B6H0;B1AJR6;B1AJR8;B1AJR9;B1AJS0;O14522,PTPRT,Receptor-type tyrosine-protein phosphatase T,16688.04297,3341.374023,Filtered,18289.89063,6120.708008,17212.5957,25225.65234,20670.98047,26547.53516,24877.44727,22060.40234,18384.7168
A0A075B6H4;Q9H8E8,KAT14,Cysteine-rich protein 2-binding protein,17640.55273,10571.45703,9468.585938,17023.50781,12370.4248,13356.2666,1136.191284,1944.364136,226.4762421,2193.954834,1682.413208,2260.69873
A0A075B6P0;Q330K2,NDUFAF6,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6;NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",12363.76953,10124.67676,11437.33984,6988.370605,10938.29004,10863.56348,18202.83594,23992.92383,13035.34863,12156.0957,17426.97656,21550.68555
A0A075B6Q3;Q5H9F3,BCORL1,BCL-6 corepressor-like protein 1 (Fragment);BCL-6 corepressor-like protein 1,891.0103149,907.5203857,1196.243164,1030.168335,1092.99646,125.2287674,1439.668823,2128.994873,2659.136719,2050.350342,1634.891846,1953.275269
A0A075B6T1;Q9C0C7,AMBRA1,Activating molecule in BECN1-regulated autophagy protein 1,7165.436523,6059.796387,6577.657227,6733.668457,3967.325684,5628.661621,3306.819824,2793.394775,1943.709839,1687.025391,1124.647705,2266.696045
A0A075B6T9;A0A088AWK7;E7EV44;F5H848,ZNF268;;ZNF268;ZNF268,Zinc finger protein 268;Uncharacterized protein;Zinc finger protein 268;Zinc finger protein 268,29042.51172,8132.793945,6544.494141,10506.39648,8484.735352,25150.48242,5594.395996,Filtered,3.822912931,Filtered,Filtered,Filtered
A0A075B730,EPPK1,Epiplakin,78594.64844,74657.61719,71486.82813,86490.01563,69075.17969,71851.57031,7906.033203,7612.862793,7678.973145,7738.791016,7661.548828,7229.759766
A0A075B749;A0A087WX83;E9PQG4;Q5VU43,PDE4DIP,Myomegalin,9131.341797,6736.82959,6799.512695,8523.789063,5440.877441,6555.552246,18720.10156,20461.13867,16419.05273,15575.81934,18762.23047,19566.8457
A0A075B780;O14787,TNPO2,Transportin-2,30635.54688,28617.45703,28746.85547,38789.72656,24297.66016,31483.89453,53600.92578,67412.11719,56406.01563,54157.23438,49610.70313,43863.6875
A0A075B7A1;M0QXX5;M0QZP3;M0R0E9;M0R344;Q9NRA0,SPHK2,Sphingosine kinase 2;Sphingosine kinase 2 (Fragment);Sphingosine kinase 2 (Fragment);Sphingosine kinase 2;Sphingosine kinase 2;Sphingosine kinase 2,7234.692383,5091.959961,5228.980957,7817.379395,4126.170898,5954.525391,16193.81543,12784.13672,12701.33594,15906.31543,15282.94629,13527.10645
A0A075B7C0;A0A0C4DGQ5;K7ELJ7;P04632;U3KQE2,CAPNS1,Calpain small subunit 1 (Fragment);Calpain small subunit 1;Calpain small subunit 1;Calpain small subunit 1;Calpain small subunit 1 (Fragment),38551.99609,13425.36621,22278.67969,7635.87207,9698.161133,5184.102051,12969.34961,9585.607422,7137.070801,10285.31836,14502.8125,11778.31738
A0A075B7D9;Q92804,TAF15,TATA-binding protein-associated factor 2N,111931.8125,146088.4688,129530.2656,84743.57813,101714.5625,149713.2969,64548.71094,99020.96094,118230.7891,112944.8125,109605.1172,112104.5625
A0A075B7G4;Q8IYB9,ZNF595,Zinc finger protein 595,3044.216309,634.3264771,2333.041992,1253.415039,501.2579956,932.6560669,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A075B7G6;A0A0A0MTN5;Q8IYN0;Q8TF32,ZNF100;ZNF100;ZNF100;ZNF431,Zinc finger protein 100;Zinc finger protein 100;Zinc finger protein 100;Zinc finger protein 431,Filtered,1252.900879,731.6543579,Filtered,Filtered,NaN,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087WSV0;I6LJZ7;Q9HB09,BCL2L12,Bcl-2-like protein 12;BCL2L12 protein isoform 5;Bcl-2-like protein 12,5758.384277,558.7901001,1650.515991,1666.653198,1685.0625,771.9090576,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087WSW2;A0A0G2JQ90;P17038,ZNF43,Zinc finger protein 43;Zinc finger protein 43 (Fragment);Zinc finger protein 43,3988.902832,10471.00391,971.3353882,234.5496063,154.9663391,703.1602173,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087WSW8;A0A5F9ZHY0;D6RA20;Q9UN74,PCDHA4,Protocadherin alpha-4,4775.364258,4930.546875,4003.464111,4393.896484,3511.562012,3121.747559,46897.83984,49065.63672,38662.26172,45730.95313,38340.4375,42738.19922
A0A087WSW9;A0A087WSY9;A0A182DWI3;E9PIR7;F8W809;Q16881,TXNRD1,"Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasmic",125523.9688,142390.4063,139721.875,121667.0156,143665.9375,139734.25,198847.6406,192733.6094,169673.0313,209701.6094,184990.7813,215388.125
A0A087WSZ7;A0A1B0GW84;Q08499,PDE4D,"Phosphodiesterase;Phosphodiesterase;cAMP-specific 3',5'-cyclic phosphodiesterase 4D",4829.383789,4286.752441,5217.296875,5189.422852,Filtered,1300.263672,10299.49609,9494.060547,2318.07373,9237.65332,6810.583008,8601.094727
A0A087WT12;A0A087X2I2;K7ERP4;P36969,GPX4,Glutathione peroxidase;Glutathione peroxidase;Glutathione peroxidase (Fragment);Phospholipid hydroperoxide glutathione peroxidase,82010.75,76239.30469,71172.07813,69493.11719,89428.22656,74951.26563,116169.5781,119662.3438,108863.0391,115812.0078,129077.375,113115.1094
A0A087WT18;Q96A73,KIAA1191,Putative monooxygenase p33MONOX,737.3311157,Filtered,775.4766235,518.1169434,1154.542725,460.1815186,2670.776123,2250.143799,Filtered,1462.088501,1924.36377,3018.957764
A0A087WT20;Q9NV06,DCAF13,DDB1- and CUL4-associated factor 13,38554.50781,42802.23047,40901.30859,37975.96484,38169.91016,42316.58203,5255.53418,4833.608887,5319.746094,5946.203613,4886.547363,3594.580078
A0A087WT23;A0A087WV67;O00124,UBXN8,UBX domain-containing protein 8,10097.81543,9372.571289,8315.186523,10072.79297,10210.97656,5727.51416,1789.369141,Filtered,1.04713738,682.9737549,986.8341064,1124.379517
A0A087WT30;Q8N5I9,C12orf45,Uncharacterized protein C12orf45,72408.21875,57073.74219,55353.33594,63039.95703,56740.875,56388.69141,12368.92188,9389.823242,5158.673828,8038.746094,9956.391602,9960.521484
A0A087WT42;H0Y7M6;Q5VVV3;Q5VVV4;Q5VVV5;Q5VVV6;Q5VVV9;Q5VVW0;Q9NY64,SLC2A8,"Solute carrier family 2, (Facilitated glucose transporter) member 8, isoform CRA_c;Solute carrier family 2, facilitated glucose transporter member 8 (Fragment);Solute carrier family 2, facilitated glucose transporter member 8 (Fragment);Solute carrier family 2, facilitated glucose transporter member 8 (Fragment);Solute carrier family 2, facilitated glucose transporter member 8 (Fragment);Solute carrier family 2, facilitated glucose transporter member 8 (Fragment);Solute carrier family 2, (Facilitated glucose transporter) member 8, isoform CRA_b;Solute carrier family 2, facilitated glucose transporter member 8 (Fragment);Solute carrier family 2, facilitated glucose transporter member 8",NaN,1024.338257,3130.641602,Filtered,Filtered,2337.871582,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087WT53,MAGI1,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",6205.262207,7094.084961,7622.140137,3474.768555,5951.088867,4994.726074,Filtered,6.31537056,7.204992294,685.0426025,Filtered,Filtered
A0A087WT64;Q07820,MCL1,Induced myeloid leukemia cell differentiation protein Mcl-1,5465.882324,4078.046631,4297.517578,5358.503906,4040.327881,3370.571533,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087WT67;O14628,ZNF195,Zinc finger protein 195,13347.09473,12866.47168,12833.64941,13058.60938,13768.95215,12765.59082,654.3826904,1387.95874,2034.876343,2040.939941,1331.030518,1209.083374
A0A087WT84;Q9H9V9,JMJD4,2-oxoglutarate and iron-dependent oxygenase JMJD4,1224.807129,1248.287354,1915.047974,865.9698486,1461.80188,1302.476685,7197.410645,1460.434326,2965.539307,2002.463989,572.281311,Filtered
A0A087WT87;A0A087X0U3;P43003,SLC1A3,Amino acid transporter;Amino acid transporter;Excitatory amino acid transporter 1,3538.361572,1222.682861,2757.588135,3683.394043,2559.626709,2038.040771,4602.235352,5783.235352,3115.601807,5246.537109,2110.743164,5117.837402
A0A087WT95;A0A087X0W7;P49753;Q86TX2,ACOT2;ACOT2;ACOT2;ACOT1,"Acyl-coenzyme A thioesterase 2, mitochondrial;Acyl-coenzyme A thioesterase 2, mitochondrial;Acyl-coenzyme A thioesterase 2, mitochondrial;Acyl-coenzyme A thioesterase 1",4818.479492,5200.12793,7499.970703,4445.125977,6845.649414,4640.594238,16874.41992,13548.92383,9344.756836,15226.29492,12831.35156,16263.62207
A0A087WT99;E9PIP1;E9PLB3;E9PLC5;E9PPB5;E9PQS1;E9PR95;E9PSC3;Q9H0W9,C11orf54,Ester hydrolase C11orf54;Ester hydrolase C11orf54 (Fragment);Ester hydrolase C11orf54 (Fragment);Ester hydrolase C11orf54 (Fragment);Ester hydrolase C11orf54 (Fragment);Ester hydrolase C11orf54 (Fragment);Ester hydrolase C11orf54 (Fragment);Ester hydrolase C11orf54 (Fragment);Ester hydrolase C11orf54,2666.784424,358.1228943,745.9859009,966.8139648,661.7886353,850.4137573,714.9619751,2501.90918,Filtered,Filtered,Filtered,1551.376831
A0A087WTA5,EIF2B4,Translation initiation factor eIF-2B subunit delta,41155.79688,33059.23828,38042.26953,40838.09375,38838.92969,37609.39453,52068.60547,53349.08594,84771.95313,53676.60547,51186.26563,52851.41797
A0A087WTA8;P08123,COL1A2,Collagen alpha-2(I) chain,3368.965576,2807.68457,2996.466064,4147.876465,3476.942871,3888.942871,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087WTF1;Q6IPU0,CENPP,Centromere protein P,4490.922852,6161.51416,8110.025391,6538.077637,6709.689453,5751.06543,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087WTI0;A0A087WTQ9;A0A0A0MRC2;Q8WY21,SORCS1,VPS10 domain-containing receptor SorCS1,644.9891357,530.4613037,254.9113159,394.557373,Filtered,Filtered,9362.547852,10830.17383,7899.912598,7170.658203,8173.294434,7615.533203
A0A087WTI3;A0A087WXF6;F5GXJ1;F5H5N1;O75251,NDUFS7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",15265.05859,15693.91211,29473.11914,34807.39453,13418.55273,18468.91602,27599.80469,27488.38281,31662.27344,27641.07422,27899.68359,26938.08398
A0A087WTP3;Q92945,KHSRP,Far upstream element-binding protein 2,216543.5469,144651.3906,142159.3125,147695.8281,134631.5156,120571.8516,108256.25,132630.5313,96271.01563,123283.6406,135814.875,120441.9531
A0A087WTQ6;F8W6X9;Q7Z5N4,SDK1,Protein sidekick-1,990.9542847,4005.702148,435.1946411,976.114563,1825.273804,442.8483582,8753.250977,7875.413086,6339.191406,9085.385742,5422.976563,9003.986328
A0A087WTT1;P11940,PABPC1,Polyadenylate-binding protein;Polyadenylate-binding protein 1,1156096.75,1187379.625,1164319.125,1250354.5,1264671.75,1250859.75,469545.875,475401.875,550433.375,478509.9375,392215,468589.9063
A0A087WTT8;A0A0A0MQX5;O94779,CNTN5,Contactin-5,6097.1875,2633.417725,7822.378418,8565.753906,1645.798096,NaN,3959.915039,2438.705322,5657.195313,8492.957031,3642.768799,2278.9646
A0A087WTT9;A0A087WX43;A0A096LNJ4;A0A1B0GVW6;D6RE84;Q9NP73,ALG13,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,913.4349976,NaN,Filtered,478.8981018,Filtered,Filtered,1.420637965,1.586000323,Filtered,Filtered,1.475145817,NaN
A0A087WTU9;Q8TCU4,ALMS1,Alstrom syndrome protein 1,10246.53906,8556.148438,7899.238281,12059.45117,7523.388184,9004.488281,4275.614746,6485.57959,107613.7578,26585.94336,29535.75,37944.33203
A0A087WTV1;A0A2R8Y362;A0A2R8Y5R1;A0A2R8Y690;A0A2R8YD49;A0A2R8YEX0;A0A2R8YFT0;A0A2R8YG59;A0A2R8YG95;Q9H1P3,OSBPL2,Oxysterol-binding protein-related protein 2 (Fragment);Oxysterol-binding protein (Fragment);Oxysterol-binding protein;Oxysterol-binding protein;Oxysterol-binding protein;Oxysterol-binding protein;Oxysterol-binding protein;Oxysterol-binding protein;Oxysterol-binding protein;Oxysterol-binding protein-related protein 2,14579.50879,11400.89844,15261.51465,13841.42188,10827.3584,10781.27832,15798.08887,13471.59961,11529.65527,18314.07227,14681.58984,20758.75391
A0A087WTW0;A0A087WVR3;Q96T88,UHRF1,E3 ubiquitin-protein ligase UHRF1,277027.7813,284817.875,261000.7188,274025.5313,269381.5625,264916.0938,37717.97656,46130.52734,29680.00781,38974.03125,43107.76953,46792.30859
A0A087WTW3;B4DLR6;B4DQ29;D6RIG4;Q9HCL0,PCDH18,Protocadherin-18,1449.065308,Filtered,650.0637207,773.8835449,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087WTW5;Q9UKL3,CASP8AP2,CASP8-associated protein 2,3239.530518,5676.289551,1619.562744,2274.48291,1589.354858,1449.288452,192.8155365,2402.831055,Filtered,2163.302002,3985.911377,136.7478485
A0A087WTY7;A0A087WWR5;Q9H227,GBA3,Cytosolic beta-glucosidase,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,4022.109375,3475.718262,1587.2677,4831.037598,1992.97937,3675.257813
A0A087WTY9;Q96HT8;Q9Y605,MRFAP1;MRFAP1L1;MRFAP1,MORF4 family-associated protein 1;MORF4 family-associated protein 1-like 1;MORF4 family-associated protein 1,23995.96094,10040.7832,10216.43066,701.8724365,7869.944824,7383.243164,Filtered,Filtered,Filtered,1618.233521,Filtered,1650.532593
A0A087WU05;A0A087WY48;Q8IY22,CMIP,C-Maf-inducing protein,15260.58984,22231.81836,20114.69336,11544.91797,14411,15069.01172,28578.88672,26204.69922,33846.91406,28228.68164,21642.06641,24335.44922
A0A087WU28;A0A0B4J2C1;M0R176;Q4U2R6,MRPL51,"39S ribosomal protein L51, mitochondrial (Fragment);39S ribosomal protein L51, mitochondrial;39S ribosomal protein L51, mitochondrial;39S ribosomal protein L51, mitochondrial",6510.559082,1868.397705,1942.063477,4383.743652,6112.198242,4187.369141,1054.492432,3.944807768,4.683626175,3.707717419,Filtered,Filtered
A0A087WU53;Q9H0U3,MAGT1,Magnesium transporter protein 1,39538.99609,65409.90234,93733.91406,88647.03906,83865.60156,75873.64844,7369.416504,33998.61719,8962.90625,12837.77246,29162.875,9890.147461
A0A087WU78;A0A087WWC4;Q6T4R5,NHS,Nance-Horan syndrome protein,1647.555664,1408.39209,995.9202881,1225.93335,718.9241943,1379.69458,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087WUB9;Q8WYA6,CTNNBL1,Beta-catenin-like protein 1,60001.14844,62331.51563,58142.61719,57170.40625,62094.92188,57515.83984,28116.06055,30077.35547,21962.47852,32352.41211,26931.37109,30652.0957
A0A087WUC6;E9PL01;Q15005,SPCS2,Signal peptidase complex subunit 2,144762.5625,252170.0625,261334.9844,201371.4219,203862.9688,272926.3438,345063.9688,346353.8438,373088.3438,361300.7188,305848.9688,348643.5625
A0A087WUC8;K7EKC0;K7EP30;K7ERK3;Q68CL5,TPGS2,Tubulin polyglutamylase complex subunit 2;Tubulin polyglutamylase complex subunit 2;Tubulin polyglutamylase complex subunit 2 (Fragment);Tubulin polyglutamylase complex subunit 2 (Fragment);Tubulin polyglutamylase complex subunit 2,1716.804199,847.468811,781.401001,1490.235107,650.491333,509.9933777,29160.58398,2647.921387,1968.341187,3540.59082,3910.132813,1539.27771
A0A087WUE4;C9JMY0;Q96PV6,LENG8,Leukocyte receptor cluster member 8,23377.55273,23541.16016,25594.73242,20607.89063,22877.13086,22192.23633,8632.719727,11687.28223,13815.21191,11021.53516,11240.49902,11125.3457
A0A087WUH1;A0A0A0MS35;Q7Z4K8,TRIM46,Tripartite motif-containing protein 46,7215.456543,3944.689697,6096.484863,7564.880859,5965.606445,5402.166504,105217.9141,105330.2031,102635.6875,99569.14844,108017.1328,100126.7813
A0A087WUJ3;C9JQ16;G5E9H5;Q9Y5X0,SNX10,"Sorting nexin-10;Sorting nexin-10 (Fragment);Sorting nexin 10, isoform CRA_c;Sorting nexin-10",3302.652344,1727.680542,2782.452637,4013.368408,2118.648926,2277.012207,Filtered,2229.554199,Filtered,Filtered,Filtered,893.355835
A0A087WUK2;O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,178935.0469,270439.3438,248746.9844,166062.9531,250511.4844,269183.2813,192302.375,232728.2188,230885.9375,214633.1563,217023.5,238696.5625
A0A087WUK8;P0CK96;P0CK97,SLC35E2B;SLC35E2B;SLC35E2A,"HCG2036609, isoform CRA_a;Solute carrier family 35 member E2B;Solute carrier family 35 member E2A",22585.69141,Filtered,18647.7793,4368.710938,4124.625977,4011.840576,133592.6563,102304.6563,Filtered,156286.8281,141351.1719,Filtered
A0A087WUL4;A0A087WX23;A0A087WXK2;Q86TG7,PEG10,Retrotransposon-derived protein PEG10,6852.153809,1461.886719,2031.181396,2005.533203,1756.953491,3353.072754,6.62402153,4199.856934,Filtered,Filtered,Filtered,7.975466251
A0A087WUN7;G3V2S9;G3V4X6;H0YJ40;H0YJW7;Q9GZT3,SLIRP,"SRA stem-loop-interacting RNA-binding protein, mitochondrial;SRA stem-loop-interacting RNA-binding protein, mitochondrial;SRA stem-loop-interacting RNA-binding protein, mitochondrial;SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment);SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment);SRA stem-loop-interacting RNA-binding protein, mitochondrial",22529.83984,23596.13867,21364.39453,16386.41602,26070.0918,22554.84375,17188.33203,32200.375,16369.09277,16333.97461,10949.44922,13173.30273
A0A087WUQ6;P07203,GPX1,Glutathione peroxidase;Glutathione peroxidase 1,5683.509766,2900.953857,4579.481445,9636.604492,6369.810547,2889.991699,6702.404297,6134.467285,3391.547119,5878.566895,5973.342285,4953.371582
A0A087WUS5;A0A494C098;H0YBT0;P01106,MYC,Myc proto-oncogene protein,499.2644043,246.0449982,NaN,366.7961121,NaN,NaN,Filtered,Filtered,Filtered,Filtered,774.1569824,Filtered
A0A087WUT6;O60841,EIF5B,Eukaryotic translation initiation factor 5B,223035.1094,256402.3906,252060.8906,238966.5469,252092.5625,250506.8438,165864.3438,179595.3125,231904.5625,145839.5938,128417.8672,135242.625
A0A087WUV0,,Uncharacterized protein,1924.84375,1013.535767,1446.077271,730.8405762,1241.178101,701.2147827,Filtered,2004.448242,1161.089478,1428.134521,521.7307739,947.8766479
